Tue |Thu |      0|30-04-0520| 1500| 215 |   1505|Yes |LQ   4|   N/A   |-- Exact 1500 Years Ago -- 
Fri |Mon |     46|15-06-2001|   18|   4 |     28|No  |LQ  22|2011 2030|Dentist Dr.S.Zucchi Tooth number 2 out top right back
Fri |Mon |     46|15-06-2007|   12|   3 |     22|No  |. *  0|2011 2030|--- New Moon * ---- @ Fri-15-Jun-2007 03:14:13a
Wed |Mon |     46|15-06-2011|    8|   2 |     11|No  |O * 13|2011 2030|--- Full Moon * ---- @ Wed-15-Jun-2011 08:14:36p
Thu |Tue |     47|16-06-2016|    3|   1 |      6|Yes |FQ  10|2000 2087|--- Earliest Sunrise Summer  04:45:11a
Fri |Tue |     47|16-06-2017|    2|   1 |      6|No  |O   21|2000 2087|--- Earliest Sunrise Summer  04:45:11a
Tue |Tue |     47|16-06-2020|   -1|   0*|      6|Yes |LQ  24|2000 2087|--- Next Earliest Sunrise Summer  04:45:11a
Fri |Wed |     48|17-06-1239|  781| 114 |    784|No  |.   16|   N/A   |Birthday - King Edward I
Mon |Wed |     48|17-06-2002|   17|   3 |     22|No  |.    6|2019 2038|Dr Habgood Cristine 17 of 21
Wed |Wed |     48|17-06-2015|    4|   1*|     11|No  |.    0|2019 2038|--- Earliest Sunrise Summer  04:45:11a
Sun |Wed |     48|17-06-2018|    1|   1 |     11|No  |.    3|2019 2038|--- Earliest Sunrise Summer  04:45:11a
Sun |Wed |     48|17-06-2018|    1|   1 |     11|No  |.    3|2019 2038|--- Event:- Father's Day ---- @ Sun-17-Jun-2018
Mon |Wed |     48|17-06-2019|    0|   1 |      5|No  |O * 13|2019 2038|--- Last Earliest Sunrise Summer  04:45:11a
Thu |Thu |     49|18-06-1998|   21|   3*|     28|No  |LQ  23|2008 2046|Karen Dillon 07th of 62
Wed |Thu |     49|18-06-2003|   16|   3 |     22|No  |O   17|2008 2046|Karen Dillon 52nd of 62 10.30 CPA notes canceld hospital
Wed |Thu |     49|18-06-2008|   11|   2 |     17|Yes |O * 14|2008 2046|--- Full Moon * ---- @ Wed-18-Jun-2008 05:31:34p
Tue |Fri |     50|19-06-2012|    7|   2 |     17|Yes |. *  0|1989 2027|--- New Moon * ---- @ Tue-19-Jun-2012 03:03:13p
Thu |Sat |     51|20-06-2019|    0|   1 |      5|No  |O   16|2016 2035|--- Last -- Event:- United Nations World Refugee Day ---- @ Thu-20-Jun-2019
Sat |Sat |     51|20-06-2020|   -1|   0*|      6|Yes |LQ  28|2016 2035|--- Next -- Event:- United Nations World Refugee Day ---- @ Sat-20-Jun-2020
Fri |Sun |     52|21-06-2019|    0|   1 |      5|No  |O   17|1948 2062|--- Last -- Longest Day ---- @ Fri-21-Jun-2019
Fri |Sun |     52|21-06-2019|    0|   1 |      5|No  |O   17|1948 2062|--- Last -- Mid Summers Day (made famous by William Shakespeare) ---- @ Fri-21-Jun-2019
Fri |Sun |     52|21-06-2019|    0|   1 |      5|No  |O   17|1948 2062|--- Last -- Summer Solstice ---- @ Fri-21-Jun-2019
Sun |Sun |     52|21-06-2020|   -1|   0*|      6|Yes |. *  0|1948 2062|--- Next -- Event:- Father's Day ---- @ Sun-21-Jun-2020
Sun |Sun |     52|21-06-2020|   -1|   0*|      6|Yes |. *  0|1948 2062|--- Next -- Longest Day ---- @ Sun-21-Jun-2020
Sun |Sun |     52|21-06-2020|   -1|   0*|      6|Yes |. *  0|1948 2062|--- Next -- Mid Summers Day (made famous by William Shakespeare) ---- @ Sun-21-Jun-2020
Sun |Sun |     52|21-06-2020|   -1|   0*|      6|Yes |. *  0|1948 2062|--- Next -- Summer Solstice ---- @ Sun-21-Jun-2020
Sun |Sun |     52|21-06-2020|   -1|   0*|      6|Yes |. *  0|1948 2062|--- Next # Solar Eclipse -Annular 21-06-2020 06:41:00a GMT
Fri |Mon |     53|22-06-1962|   57|   9 |     67|No  |O   19|2005 2024|Birthday Shaun Ansell
Fri |Mon |     53|22-06-2001|   18|   4 |     28|No  |.    0|2005 2024|Dental surgrey With Dr s. Zucchi Fri 11:00am
Fri |Mon |     53|22-06-2001|   18|   4 |     28|No  |.    0|2005 2024|Dentist Dr.S.Zucchi Tooth number 2 out top right back
Sun |Mon |     53|22-06-2003|   16|   3 |     22|No  |LQ  21|2005 2024|Thunder Storm
Mon |Mon |     53|22-06-2009|   10|   2*|     17|No  |. *  0|2005 2024|--- New Moon * ---- @ Mon-22-Jun-2009 07:36:06p
Sat |Mon |     53|22-06-2019|    0|   1 |      5|No  |O   18|2005 2024|--- Last -- Event:- 4th Sign Cancer Jun22 Jul22 Water Sign Ruled by Moon: The Crab ---- @ Sat-22-Jun-2019
Mon |Mon |     53|22-06-2020|   -1|   0*|      6|Yes |.    0|2005 2024|--- Next -- Event:- 4th Sign Cancer Jun22 Jul22 Water Sign Ruled by Moon: The Crab ---- @ Mon-22-Jun-2020
Sat |Tue |     54|23-06-1894|  125|  19 |    135|No  |O   19|   N/A   |Birthday - King Edward VIII
Sun |Tue |     54|23-06-2013|    6|   2 |     11|No  |O * 14|2013 2032|--- Full Moon * ---- @ Sun-23-Jun-2013 11:33:19a
Sun |Tue |     54|23-06-2019|    0|   1 |      5|No  |O   19|2013 2032|--- Last -- Event:- Father's Day ---- @ Sun-23-Jun-2019
Wed |Wed |     55|24-06-1970|   49|   7*|     56|No  |O   19|2002 2021|Birthday Michelle Anderson Noonan
Sat |Wed |     55|24-06-2000|   19|   3 |     23|Yes |O   21|2002 2021|Spain King's Birthday Holiday day
Tue |Wed |     55|24-06-2003|   16|   3 |     22|No  |LQ  23|2002 2021|Karen Dillon 53rd of 62 2pm hospital
Fri |Wed |     55|24-06-2016|    3|   1 |      6|Yes |O   18|2002 2021|--- Latest Sunset Summer  09:16:53p
Mon |Wed |     55|24-06-2019|    0|   1 |      5|No  |O   20|2002 2021|--- Last -- Event:- Midsummer Day, celebrated in Europe. ---- @ Mon-24-Jun-2019
Mon |Wed |     55|24-06-2019|    0|   1 |      5|No  |O   20|2002 2021|--- Last -- Event:- St John the Baptist ---- @ Mon-24-Jun-2019
Wed |Wed |     55|24-06-2020|   -1|   0*|      6|Yes |.    2|2002 2021|--- Next -- Event:- Midsummer Day, celebrated in Europe. ---- @ Wed-24-Jun-2020
Wed |Wed |     55|24-06-2020|   -1|   0*|      6|Yes |.    2|2002 2021|--- Next -- Event:- St John the Baptist ---- @ Wed-24-Jun-2020
Wed |Wed |     55|24-06-2020|   -1|   0*|      6|Yes |.    2|2002 2021|--- Next Latest Sunset Summer  09:16:55p
Tue |Thu |     56|25-06-2002|   17|   3 |     22|No  |FQ  14|1983 2059|Cathy-link-worker Fuller  8 of 16
Thu |Thu |     56|25-06-2015|    4|   1*|     11|No  |FQ   8|1983 2059|--- Latest Sunset Summer  09:16:53p
Sun |Thu |     56|25-06-2017|    2|   1 |      6|No  |.    0|1983 2059|--- Latest Sunset Summer  09:16:54p
Mon |Thu |     56|25-06-2018|    1|   1 |     11|No  |FQ  11|1983 2059|--- Latest Sunset Summer  09:16:54p
Tue |Thu |     56|25-06-2019|    0|   1 |      5|No  |LQ* 21|1983 2059|--- Last Latest Sunset Summer  09:16:54p
Wed |Fri |     57|26-06-2002|   17|   3 |     22|No  |O   15|2010 2029|Dr El Sayed 4th
Wed |Fri |     57|26-06-2002|   17|   3 |     22|No  |O   15|2010 2029|Karen Dillon 40th of 62
Sat |Fri |     57|26-06-2010|    9|   1 |     11|No  |O * 14|2010 2029|--- Full Moon * ---- @ Sat-26-Jun-2010 11:31:31a
Fri |Sat |     58|27-06-2014|    5|   1 |     11|No  |. *  0|1991 2037|--- New Moon * ---- @ Fri-27-Jun-2014 08:09:39a
Sun |Sun |     59|28-06-1491|  529|  77*|    536|No  |FQ  21|   N/A   |Birthday - King Henry VIII
Mon |Mon |     60|29-06-1998|   21|   3*|     28|No  |.    4|1988 2026|Finish Ltd Eds first time
Sat |Mon |     60|29-06-2019|    0|   1 |      5|No  |LQ  25|1988 2026|--- Last -- Event:- St Peter St Paul ---- @ Sat-29-Jun-2019
Mon |Mon |     60|29-06-2020|   -1|   0*|      6|Yes |FQ   7|1988 2026|--- Next -- Event:- St Peter St Paul ---- @ Mon-29-Jun-2020
Sat |Tue |     61|30-06-2007|   12|   3 |     22|No  |O * 15|2007 2072|--- Calendar Blue Moon ---- @ Sat-30-Jun-2007 01:49:43p --- 2nd Full Moon in Month
Sat |Tue |     61|30-06-2007|   12|   3 |     22|No  |O * 15|2007 2072|--- Full Moon * ---- @ Sat-30-Jun-2007 01:49:43p
Sun |Wed |     62|01-07-1990|   29|   5 |     39|No  |FQ   8|1996 2034|Sarah Turner left me after 5 years
Fri |Wed |     62|01-07-2011|    8|   2 |     11|No  |. *  0|1996 2034|--- New Moon * ---- @ Fri-01-Jul-2011 08:54:58a
Sun |Wed |     62|01-07-2018|    1|   1 |     11|No  |O   17|1996 2034|--- -- 3rd Quarter Of Year -- ---- @ Sun-01-Jul-2018
Mon |Wed |     62|01-07-2019|    0|   1 |      5|No  |LQ  27|1996 2034|--- Last -- -- 3rd Quarter Of Year -- ---- @ Mon-01-Jul-2019
Mon |Wed |     62|01-07-2019|    0|   1 |      5|No  |LQ  27|1996 2034|--- Last -- Event:- Canada Day ---- @ Mon-01-Jul-2019
Mon |Wed |     62|01-07-2019|    0|   1 |      5|No  |LQ  27|1996 2034|--- Last -- Event:- Tour de France bicycle race ---- @ Mon-01-Jul-2019
Wed |Wed |     62|01-07-2020|   -1|   0*|      6|Yes |FQ   9|1996 2034|-- Exactly The Next Start Three Months -- 
Wed |Wed |     62|01-07-2020|   -1|   0*|      6|Yes |FQ   9|1996 2034|--- Next -- -- 3rd Quarter Of Year -- ---- @ Wed-01-Jul-2020
Wed |Wed |     62|01-07-2020|   -1|   0*|      6|Yes |FQ   9|1996 2034|--- Next -- Event:- Canada Day ---- @ Wed-01-Jul-2020
Wed |Wed |     62|01-07-2020|   -1|   0*|      6|Yes |FQ   9|1996 2034|--- Next -- Event:- Tour de France bicycle race ---- @ Wed-01-Jul-2020
Mon |Thu |     63|02-07-2001|   18|   4 |     28|No  |FQ  10|2015 2061|Dr Le Seve 14 of 15
Tue |Thu |     63|02-07-2019|    0|   1 |      5|No  |. *  0|2015 2061|--- # Solar Eclipse -Total 02-07-2019 07:16:00p GMT
Fri |Fri |     64|03-07-1998|   21|   3*|     28|No  |FQ   8|2012 2023|Karen Dillon 08th of 62
Sat |Fri |     64|03-07-2004|   15|   2 |     17|Yes |O   15|2012 2023|One of the Starlings got it tounge caught in a small fat ball on roof - Quick Happy Ending Saved the Thing with no harm
Thu |Fri |     64|03-07-2008|   11|   2 |     17|Yes |. *  0|2012 2023|--- New Moon * ---- @ Thu-03-Jul-2008 02:19:43a
Tue |Fri |     64|03-07-2012|    7|   2 |     17|Yes |O * 14|2012 2023|--- Full Moon * ---- @ Tue-03-Jul-2012 06:52:52p
Wed |Fri |     64|03-07-2019|    0|   1 |      5|No  |.    0|2012 2023|--- Last -- Event:- St. Thomas' Day ---- @ Wed-03-Jul-2019
Fri |Fri |     64|03-07-2020|   -1|   0*|      6|Yes |FQ  11|2012 2023|--- Next -- Event:- St. Thomas' Day ---- @ Fri-03-Jul-2020
Wed |Sat |     65|04-07-2007|   12|   3 |     22|No  |O   18|1993 2031|Dentist Vars Leave for some Time Asked Want Teeth Clean
Thu |Sat |     65|04-07-2019|    0|   1 |      5|No  |.    1|1993 2031|--- Last -- Event:- US Independence Day ---- @ Thu-04-Jul-2019
Sat |Sat |     65|04-07-2020|   -1|   0*|      6|Yes |FQ  12|1993 2031|--- Next -- Event:- US Independence Day ---- @ Sat-04-Jul-2020
Thu |Sun |     66|05-07-2001|   18|   4 |     28|No  |O * 14|2001*2096|Karen Dillon 28th of 62 3.30pm
Sun |Sun |     66|05-07-2020|   -1|   0*|      6|Yes |O * 13|2001*2096|--- # Lunar Eclipse -Penumbral 05-07-2020 04:44:00a GMT
Tue |Tue |     68|07-07-2009|   10|   2*|     17|No  |O * 14|2009 2047|--- Full Moon * ---- @ Tue-07-Jul-2009 09:22:33a
Thu |Wed |     69|08-07-1999|   20|   3 |     22|No  |LQ  24|1990 2036|Karen Dillon 12th of 62 3.30 home
Mon |Wed |     69|08-07-2002|   17|   3 |     22|No  |LQ  27|1990 2036|Cathy-link-worker Fuller  9 of 16
Mon |Wed |     69|08-07-2013|    6|   2 |     11|No  |. *  0|1990 2036|--- New Moon * ---- @ Mon-08-Jul-2013 07:15:32a
Sat |Fri |     71|10-07-2004|   15|   2 |     17|Yes |LQ  22|1968 2025|Loren Mosher, psychiatrist, born September 3 1933; died July 10 2004
Fri |Sat |     72|11-07-1997|   22|   4 |     28|No  |.    6|2006 2090|Dr Schaik 2 of 4  10am canceled
Sun |Sat |     72|11-07-2010|    9|   1 |     11|No  |. *  0|2006 2090|--- New Moon * ---- @ Sun-11-Jul-2010 07:41:31p
Thu |Sat |     72|11-07-2019|    0|   1 |      5|No  |FQ   8|2006 2090|--- Last -- Event:- World Population Day ---- @ Thu-11-Jul-2019
Sat |Sat |     72|11-07-2020|   -1|   0*|      6|Yes |O   19|2006 2090|--- Next -- Event:- World Population Day ---- @ Sat-11-Jul-2020
Sat |Sun |     73|12-07-2014|    5|   1 |     11|No  |O * 15|2014 2033|--- Full Moon * ---- @ Sat-12-Jul-2014 11:25:57a
Thu |Mon |     74|13-07-1972|   47|   7 |     51|Yes |.    2|2003 2022|Birthday Coretta
Fri |Mon |     74|13-07-2018|    1|   1 |     11|No  |. *  0|2003 2022|--- # Solar Eclipse -Partial 13-07-2018 02:48:00a GMT
Mon |Tue |     75|14-07-1997|   22|   4 |     28|No  |FQ   9|1992 2079|Dr Schaik 3 of 4  2.30pm re-schelduled
Sat |Tue |     75|14-07-2007|   12|   3 |     22|No  |. *  0|1992 2079|--- New Moon * ---- @ Sat-14-Jul-2007 12:04:52p
Sun |Tue |     75|14-07-2019|    0|   1 |      5|No  |FQ  11|1992 2079|--- Last -- Event:- French Bastille Day ---- @ Sun-14-Jul-2019
Tue |Tue |     75|14-07-2020|   -1|   0*|      6|Yes |LQ  22|1992 2079|--- Next -- Event:- French Bastille Day ---- @ Tue-14-Jul-2020
Mon |Wed |     76|15-07-2002|   17|   3 |     22|No  |.    4|2011 2030|Dr Habgood Cristine 18 of 21
Fri |Wed |     76|15-07-2011|    8|   2 |     11|No  |O * 13|2011 2030|--- Full Moon * ---- @ Fri-15-Jul-2011 06:40:38a
Mon |Wed |     76|15-07-2019|    0|   1 |      5|No  |FQ  12|2011 2030|--- Last -- Event:- St Swithin ---- @ Mon-15-Jul-2019
Wed |Wed |     76|15-07-2020|   -1|   0*|      6|Yes |LQ  23|2011 2030|--- Next -- Event:- St Swithin ---- @ Wed-15-Jul-2020
Thu |Thu |     77|16-07-1992|   27|   4*|     34|Yes |O   15|2019 2038|**Violent Disorder
Tue |Thu |     77|16-07-2019|    0|   1 |      5|No  |O * 14|2019 2038|--- # Lunar Eclipse -Partial(Umbral) 16-07-2019 09:38:00p GMT
Mon |Fri |     78|17-07-1989|   30|   5 |     34|No  |FQ  13|1981 2065|Dental surgrey on front tooth.
Mon |Fri |     78|17-07-1989|   30|   5 |     34|No  |FQ  13|1981 2065|Front tooth done
Thu |Fri |     78|17-07-2003|   16|   3 |     22|No  |O   17|1981 2065|Started seeing stuart lawson 1 of 7 3pm
Fri |Sat |     79|18-07-2008|   11|   2 |     17|Yes |O * 15|2008 2027|--- Full Moon * ---- @ Fri-18-Jul-2008 08:00:08a
Thu |Sun |     80|19-07-2012|    7|   2 |     17|Yes |. *  0|2016 2054|--- New Moon * ---- @ Thu-19-Jul-2012 04:25:09a
Mon |Wed |     83|22-07-2002|   17|   3 |     22|No  |FQ  11|2013 2032|Cathy-link-worker Fuller 10 of 16
Wed |Wed |     83|22-07-2009|   10|   2*|     17|No  |. *  0|2013 2032|--- New Moon * ---- @ Wed-22-Jul-2009 02:35:37a
Mon |Wed |     83|22-07-2013|    6|   2 |     11|No  |O * 14|2013 2032|--- Full Moon * ---- @ Mon-22-Jul-2013 06:16:36p
Mon |Wed |     83|22-07-2019|    0|   1 |      5|No  |O   19|2013 2032|--- Last -- Event:- St Mary Magdalene ---- @ Mon-22-Jul-2019
Wed |Wed |     83|22-07-2020|   -1|   0*|      6|Yes |.    1|2013 2032|--- Next -- Event:- St Mary Magdalene ---- @ Wed-22-Jul-2020
Tue |Thu |     84|23-07-2019|    0|   1 |      5|No  |O   20|1975 2051|--- Last -- Event:- 5th Sign Leo Jul23 Aug22 Fire Sign Ruled by Sun: The Lion ---- @ Tue-23-Jul-2019
Thu |Thu |     84|23-07-2020|   -1|   0*|      6|Yes |.    2|1975 2051|--- Next -- Event:- 5th Sign Leo Jul23 Aug22 Fire Sign Ruled by Sun: The Lion ---- @ Thu-23-Jul-2020
Wed |Fri |     85|24-07-2002|   17|   3 |     22|No  |O * 13|2002 2021|Cathy-link-worker Fuller 11 of 16
Wed |Fri |     85|24-07-2002|   17|   3 |     22|No  |O * 13|2002 2021|Karen Dillon 41st of 62
Fri |Sat |     86|25-07-1969|   50|   8 |     56|No  |FQ  10|1983 2029|Birthday Lee Salvidge
Wed |Sat |     86|25-07-1990|   29|   5 |     39|No  |.    2|1983 2029|**Possessing Controlled Drug + Failing to surrender to bail
Thu |Sat |     86|25-07-2019|    0|   1 |      5|No  |LQ* 22|1983 2029|--- Last -- Event:- St James ---- @ Thu-25-Jul-2019
Sat |Sat |     86|25-07-2020|   -1|   0*|      6|Yes |.    4|1983 2029|--- Next -- Event:- St James ---- @ Sat-25-Jul-2020
Mon |Sun |     87|26-07-2010|    9|   1 |     11|No  |O * 14|2010 2056|--- Full Moon * ---- @ Mon-26-Jul-2010 01:37:39a
Sat |Sun |     87|26-07-2014|    5|   1 |     11|No  |. *  0|2010 2056|--- New Moon * ---- @ Sat-26-Jul-2014 10:42:58p
Fri |Mon |     88|27-07-2018|    1|   1 |     11|No  |O * 14|2018 2037|--- # Lunar Eclipse -Total(Umbral) 27-07-2018 08:21:00p GMT
Tue |Tue |     89|28-07-1998|   21|   3*|     28|No  |.    4|1999 2045|Dr Le Seve  2 of 15 white house 2 pm
Mon |Wed |     90|29-07-2002|   17|   3 |     22|No  |O   18|1988 2026|Dr El Sayed 5th
Fri |Thu |     91|30-07-1920|   99|  14 |    101|Yes |O * 15|2007 2053|--- Calendar Blue Moon ---- @ Fri-30-Jul-1920 11:19:21p --- 2nd Full Moon in Month
Wed |Thu |     91|30-07-1958|   61|   9 |     67|No  |O * 13|2007 2053|--- Calendar Blue Moon ---- @ Wed-30-Jul-1958 04:47:20p --- 2nd Full Moon in Month
Sat |Thu |     91|30-07-1977|   42|   7 |     45|No  |O * 14|2007 2053|--- Calendar Blue Moon ---- @ Sat-30-Jul-1977 10:52:55a --- 2nd Full Moon in Month
Tue |Thu |     91|30-07-1996|   23|   4 |     28|Yes |O * 14|2007 2053|--- Calendar Blue Moon ---- @ Tue-30-Jul-1996 10:36:03a --- 2nd Full Moon in Month
Wed |Thu |     91|30-07-2003|   16|   3 |     22|No  |.    0|2007 2053|Grandad Died.
Mon |Thu |     91|30-07-2007|   12|   3 |     22|No  |O * 15|2007 2053|--- Full Moon * ---- @ Mon-30-Jul-2007 12:48:48a
Sat |Thu |     91|30-07-2011|    8|   2 |     11|No  |. *  0|2007 2053|--- New Moon * ---- @ Sat-30-Jul-2011 06:40:54p
Wed |Fri |     92|31-07-1901|  118|  18 |    123|No  |O * 15|2015 2034|--- Calendar Blue Moon ---- @ Wed-31-Jul-1901 10:33:39a --- 2nd Full Moon in Month
Mon |Fri |     92|31-07-1939|   80|  12 |     84|No  |O * 14|2015 2034|--- Calendar Blue Moon ---- @ Mon-31-Jul-1939 06:36:57a --- 2nd Full Moon in Month
Sat |Fri |     92|31-07-1971|   48|   7 |     50|No  |FQ   8|2015 2034|Birthday Lance Ansell
Sat |Fri |     92|31-07-1971|   48|   7 |     50|No  |FQ   8|2015 2034|Birthday LANCE Ansell
Wed |Fri |     92|31-07-1985|   34|   6 |     39|No  |O * 13|2015 2034|--- Calendar Blue Moon ---- @ Wed-31-Jul-1985 09:41:49p --- 2nd Full Moon in Month
Sat |Fri |     92|31-07-1999|   20|   3 |     22|No  |O   17|2015 2034|Dr Le Seve  4 of 15 mill view
Sat |Fri |     92|31-07-2004|   15|   2 |     17|Yes |O * 14|2015 2034|--- Calendar Blue Moon ---- @ Sat-31-Jul-2004 06:06:08p --- 2nd Full Moon in Month
Fri |Fri |     92|31-07-2015|    4|   1*|     11|No  |O * 15|2015 2034|--- Calendar Blue Moon ---- @ Fri-31-Jul-2015 10:44:02a --- 2nd Full Moon in Month
Sat |Sat |     93|01-08-1998|   21|   3*|     28|No  |FQ   8|1966 2023|Dr Baker Meet in my Room Saw Papers Over Bed as He Awoke Me Read Some Acid-Man Media
Fri |Sat |     93|01-08-2008|   11|   2 |     17|Yes |. *  0|1966 2023|--- New Moon * ---- @ Fri-01-Aug-2008 10:13:38a
Thu |Sat |     93|01-08-2019|    0|   1 |      5|No  |. *  0|1966 2023|--- Last -- Event:- World Wide Web Anniversary ---- @ Thu-01-Aug-2019
Sat |Sat |     93|01-08-2020|   -1|   0*|      6|Yes |FQ  11|1966 2023|--- Next -- Event:- World Wide Web Anniversary ---- @ Sat-01-Aug-2020
Wed |Sun |     94|02-08-2000|   19|   3 |     23|Yes |.    1|2012 2069|Karen Dillon 24th of 62
Thu |Sun |     94|02-08-2012|    7|   2 |     17|Yes |O * 13|2012 2069|--- Full Moon * ---- @ Thu-02-Aug-2012 03:28:31a
Mon |Mon |     95|03-08-1998|   21|   3*|     28|No  |FQ  10|1974*2031|Dr Baker appointment Mill view Not attend think?
Mon |Mon |     95|03-08-1998|   21|   3*|     28|No  |FQ  10|1974*2031|Dr Habgood Cristine  5 of 21
Wed |Tue |     96|04-08-1971|   48|   7 |     50|No  |FQ  12|2001 2039|Birthday Steve Owen
Tue |Wed |     97|05-08-2003|   16|   3 |     22|No  |FQ*  7|1963 2028|Karen Dillon 54th of 62 3.30pm home
Fri |Thu |     98|06-08-1999|   20|   3 |     22|No  |LQ  23|2009 2104|Karen Dillon 13th of 62
Tue |Thu |     98|06-08-2002|   17|   3 |     22|No  |LQ  26|2009 2104|Cathy-link-worker Fuller 12 of 16
Wed |Thu |     98|06-08-2003|   16|   3 |     22|No  |FQ   7|2009 2104|Gracey the dog died put down
Thu |Thu |     98|06-08-2009|   10|   2*|     17|No  |O * 14|2009 2104|--- Full Moon * ---- @ Thu-06-Aug-2009 12:55:52a
Tue |Thu |     98|06-08-2013|    6|   2 |     11|No  |. *  0|2009 2104|--- New Moon * ---- @ Tue-06-Aug-2013 09:51:56p
Tue |Thu |     98|06-08-2019|    0|   1 |      5|No  |.    4|2009 2104|--- Last -- Event:- Transfiguration ---- @ Tue-06-Aug-2019
Thu |Thu |     98|06-08-2020|   -1|   0*|      6|Yes |O   16|2009 2104|--- Next -- Event:- Transfiguration ---- @ Thu-06-Aug-2020
Mon |Fri |     99|07-08-2017|    2|   1 |      6|No  |O * 15|2017 2036|--- # Lunar Eclipse -Partial(Umbral) 07-08-2017 06:11:00p GMT
Thu |Sat |    100|08-08-1963|   56|   9 |     61|No  |O   18|1998 2044|---- Mick F Bullen -----
Thu |Mon |    102|10-08-1972|   47|   7 |     51|Yes |.    0|2014 2033|Birthday Tim Roach
Fri |Mon |    102|10-08-1990|   29|   5 |     39|No  |O   18|2014 2033|Fired from work ewbank
